store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Hond,Apotheek,Seresto,Seresto Teken- En Vlooienband Small - Anti tekenmiddel - 38 cm Tot 8 Kg,"30,45","30,45",0,Volwassen,https://www.petsplace.nl/seresto-teken-en-vlooienband-anti-tekenmiddel-m-4007221053101-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/8628_30001507_1.webp
Pets place,Hond,Apotheek,Seresto,Seresto Teken- En Vlooienband Large - Anti tekenmiddel - 70 cm Van 8 Kg,"37,45","37,45",0,Volwassen,https://www.petsplace.nl/seresto-teken-en-vlooienband-anti-tekenmiddel-m-4007221053101-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/4512_30001506_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 100 1 ml - Anti vlooien en tekenmiddel - 4 pip 4-10 Kg,"22,39","22,39",0,Junior,https://www.petsplace.nl/advantix-spot-on-100-anti-vlooien-en-tekenmiddel-m-4007221048121-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/6788_342368_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 100 1 ml - Anti vlooien en tekenmiddel - 6 pip 4-10kg,"31,45","31,45",0,Junior,https://www.petsplace.nl/advantix-spot-on-100-anti-vlooien-en-tekenmiddel-m-4007221048121-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2044_342366_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 250 2.5 ml - Anti vlooien en tekenmiddel - 4 pip 10-25 Kg,"22,59","22,59",0,Junior,https://www.petsplace.nl/advantix-spot-on-250-anti-vlooien-en-tekenmiddel-m-4007221048107-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/3011_342369_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 250 2.5 ml - Anti vlooien en tekenmiddel - 6 pip 10-25kg,"31,95","31,95",0,Junior,https://www.petsplace.nl/advantix-spot-on-250-anti-vlooien-en-tekenmiddel-m-4007221048107-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2976_342367_1.webp
Pets place,Hond,Apotheek,No Worm,No Worm Pasta Hond En Kat - Anti wormenmiddel - 10 ml Alle Gewichten (Doseerspuitje,"24,99","19,99",20,Alle Leeftijden,https://www.petsplace.nl/no-worm-pasta-hond-en-kat-anti-wormenmiddel-m-8713112000104-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/8207_040511_1.webp
Pets place,Hond,Apotheek,No Worm,No Worm Pasta Hond En Kat - Anti wormenmiddel - 25 ml Alle Gewichten (Doseerspuitje,"31,99","25,59",20,Alle Leeftijden,https://www.petsplace.nl/no-worm-pasta-hond-en-kat-anti-wormenmiddel-m-8713112000104-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/3067_040512_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 400 4 ml - Anti vlooien en tekenmiddel - 4 pip 25-40 Kg,"28,49","28,49",0,Volwassen,https://www.petsplace.nl/advantix-spot-on-400-anti-vlooien-en-tekenmiddel-m-4007221048091-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2493_342371_1.webp
Pets place,Hond,Apotheek,Advantix,Advantix Spot On 400 4 ml - Anti vlooien en tekenmiddel - 6 pip 25-40 Kg,"37,95","37,95",0,Volwassen,https://www.petsplace.nl/advantix-spot-on-400-anti-vlooien-en-tekenmiddel-m-4007221048091-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/9042_342365_1.webp
