store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Kat,Droogvoer,Iams,Iams Cat Senior 3 kg - Kattenvoer - Kip,"19,29","19,29",0,Senior,https://www.petsplace.nl/iams-cat-senior-kattenvoer-m-8710255150277-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/9843_10044131_1.webp
Pets place,Kat,Droogvoer,Iams,Iams Cat Senior 3 kg - Kattenvoer - Zeevis,"19,29","19,29",0,Senior,https://www.petsplace.nl/iams-cat-senior-kattenvoer-m-8710255150277-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/5473_10044132_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Original Adult Kip - Kattenvoer - 1.5 kg,"18,99","18,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-original-adult-kattenvoer-m-7613036505987-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/6852_10032215_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Original Adult Kip - Kattenvoer - 3 kg,"26,99","26,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-original-adult-kattenvoer-m-7613036505987-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3055_10032216_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Original Adult Kip - Kattenvoer - 10 kg,"61,99","61,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-original-adult-kattenvoer-m-7613036505987-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3203_10032217_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Sterilised Sensitive Zalm - Kattenvoer - 1.5 kg,"19,99","19,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-sterilised-sensitive-kattenvoer-m-7613036517362-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/7922_10032211_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Sterilised Sensitive Zalm - Kattenvoer - 3 kg,"27,99","27,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-sterilised-sensitive-kattenvoer-m-7613036517362-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3485_10032210_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Sterilised Sensitive Zalm - Kattenvoer - 10 kg,"63,99","63,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-sterilised-sensitive-kattenvoer-m-7613036517362-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/5134_10032212_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Sterilised Kip - Kattenvoer - 1.5 kg,"19,99","19,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-sterilised-kattenvoer-m-7613036519991-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/7228_10032209_1.webp
Pets place,Kat,Droogvoer,Pro Plan,Pro Plan Cat Sterilised Kip - Kattenvoer - 3 kg,"27,99","27,99",0,Volwassen,https://www.petsplace.nl/pro-plan-cat-sterilised-kattenvoer-m-7613036519991-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/2675_10032207_1.webp
