store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Knaagdier,Konijnenvoer,Supreme,Supreme Science Selective Rabbit - Konijnenvoer - 10+1 kg,"47,99","47,99",0,Konijn,https://www.petsplace.nl/supreme-science-selective-rabbit-konijnenvoer-m-5015622204403-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3003_10053940_1.webp
Pets place,Knaagdier,Konijnenvoer,Supreme,Supreme Science Selective Rabbit - Konijnenvoer - 1.5 kg,"12,69","12,69",0,Konijn,https://www.petsplace.nl/supreme-science-selective-rabbit-konijnenvoer-m-5015622204403-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/3842_300136_1.webp
Pets place,Knaagdier,Konijnenvoer,Supreme,Supreme Science Selective Rabbit - Konijnenvoer - 3 kg,"21,65","21,65",0,Konijn,https://www.petsplace.nl/supreme-science-selective-rabbit-konijnenvoer-m-5015622204403-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/5/3/3012_530109_1.webp
Pets place,Knaagdier,Konijnenvoer,Supreme,Supreme Science Selective Rabbit - Konijnenvoer - 5 kg,"28,89","28,89",0,Konijn,https://www.petsplace.nl/supreme-science-selective-rabbit-konijnenvoer-m-5015622204403-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/6082_300149_1.webp
Pets place,Knaagdier,Konijnenvoer,Supreme,Supreme Science Selective Rabbit - Konijnenvoer - 10 kg,"43,95","43,95",0,Konijn,https://www.petsplace.nl/supreme-science-selective-rabbit-konijnenvoer-m-5015622204403-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/9652_300045_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Country`s Best,Versele-Laga Country`s Best Cuni Fit Pure - Konijnenkorrel - Konijnenvoer - 5 kg,"8,29","8,29",0,Konijn,https://www.petsplace.nl/versele-laga-country-s-best-cuni-fit-pure-konijnenkorrel-konijnenvoer-m-5410340512036-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/7494_100829_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Country`s Best,Versele-Laga Country`s Best Cuni Fit Pure - Konijnenkorrel - Konijnenvoer - 20 kg,"23,09","23,09",0,Konijn,https://www.petsplace.nl/versele-laga-country-s-best-cuni-fit-pure-konijnenkorrel-konijnenvoer-m-5410340512036-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/5416_100830_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Classic,Versele-Laga Classic Allround Pellet - Konijnenvoer - 5 kg,"6,79","6,79",0,Konijn,https://www.petsplace.nl/versele-laga-classic-allround-pellet-konijnenvoer-m-5410340611425-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/9/9579_199127_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Country`s Best,Versele-Laga Country`s Best Cuni Fit Plus - Konijnenkorrel - Konijnenvoer - 5 kg,"8,99","8,99",0,Konijn,https://www.petsplace.nl/versele-laga-country-s-best-cuni-fit-plus-konijnenkorrel-konijnenvoer-m-5410340512098-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/8/9208_182424_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Country`s Best,Versele-Laga Country`s Best Cuni Fit Plus - Konijnenkorrel - Konijnenvoer - 20 kg,"21,79","21,79",0,Konijn,https://www.petsplace.nl/versele-laga-country-s-best-cuni-fit-plus-konijnenkorrel-konijnenvoer-m-5410340512098-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3256_100828_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Complete,Versele-Laga Complete Cuni Adult - Konijnenvoer - 350+150 g,"3,14","3,14",0,Konijn,https://www.petsplace.nl/versele-laga-complete-cuni-adult-konijnenvoer-m-5410340612507-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/2678_10046813_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Complete,Versele-Laga Complete Cuni Adult - Konijnenvoer - 500 g,"5,99","5,99",0,Konijn,https://www.petsplace.nl/versele-laga-complete-cuni-adult-konijnenvoer-m-5410340612507-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/8/8057_181574_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Complete,Versele-Laga Complete Cuni Adult - Konijnenvoer - 1.75 kg,"16,65","16,65",0,Konijn,https://www.petsplace.nl/versele-laga-complete-cuni-adult-konijnenvoer-m-5410340612507-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/9283_100772_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Complete,Versele-Laga Complete Cuni Adult - Konijnenvoer - 8 kg,"50,65","50,65",0,Konijn,https://www.petsplace.nl/versele-laga-complete-cuni-adult-konijnenvoer-m-5410340612507-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/8327_342706_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Complete,Versele-Laga Complete Cuni Adult - Konijnenvoer - 8+0.8 kg Promo,"42,95","42,95",0,Konijn,https://www.petsplace.nl/versele-laga-complete-cuni-adult-konijnenvoer-m-5410340612507-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/9917_342705_1.webp
Pets place,Knaagdier,Konijnenvoer,Tiny Friends Farm,Tiny Friends Farm Russel Rabbit Original - Konijnenvoer - 850 g,"3,99","3,99",0,Konijn,https://www.petsplace.nl/tiny-friends-farm-russel-rabbit-original-konijnenvoer-m-5015622204793-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/6924_200279_1.webp
Pets place,Knaagdier,Konijnenvoer,Tiny Friends Farm,Tiny Friends Farm Russel Rabbit Original - Konijnenvoer - 2.5 kg,"7,99","7,99",0,Konijn,https://www.petsplace.nl/tiny-friends-farm-russel-rabbit-original-konijnenvoer-m-5015622204793-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/7824_200276_1.webp
Pets place,Knaagdier,Konijnenvoer,Tiny Friends Farm,Tiny Friends Farm Russel Rabbit Original - Konijnenvoer - 12.5 kg,"37,45","37,45",0,Konijn,https://www.petsplace.nl/tiny-friends-farm-russel-rabbit-original-konijnenvoer-m-5015622204793-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/1025_300243_1.webp
Pets place,Knaagdier,Konijnenvoer,Tiny Friends Farm,Tiny Friends Farm Russel Rabbit Tasty Mix - Konijnenvoer - 2.5 kg,"9,99","9,99",0,Konijn,https://www.petsplace.nl/tiny-friends-farm-russel-rabbit-tasty-mix-konijnenvoer-m-730582000623-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/8067_30001448_1.webp
Pets place,Knaagdier,Konijnenvoer,Tiny Friends Farm,Tiny Friends Farm Russel Rabbit Tasty Mix - Konijnenvoer - 5 kg,"18,89","18,89",0,Konijn,https://www.petsplace.nl/tiny-friends-farm-russel-rabbit-tasty-mix-konijnenvoer-m-730582000623-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/7747_30002152_1.webp
Pets place,Knaagdier,Konijnenvoer,Versele-Laga Crispy,Versele-Laga Crispy Muesli Konijnen - Konijnenvoer - 400 g,"1,79","1,79",0,Konijn,https://www.petsplace.nl/versele-laga-crispy-muesli-konijnen-konijnenvoer-m-5410340617014-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/7729_10054638_1.webp
